CustomerID,TenureMonths,MonthlySpend,SupportTickets,ContractType,Churn,TotalSpend
1,39,78,7,Monthly,No,3042
2,52,151,4,Monthly,No,7852
3,29,123,0,Monthly,Yes,3567
4,15,176,7,Monthly,No,2640
5,43,176,8,Monthly,Yes,7568
6,8,117,9,Two-Year,No,936
7,21,175,1,Annual,No,3675
8,39,98,8,Monthly,No,3822
9,58,143,7,Two-Year,Yes,8294
10,19,191,6,Monthly,No,3629
11,23,23,2,Two-Year,No,529
12,11,109,1,Monthly,No,1199
13,11,123,6,Annual,No,1353
14,24,156,4,Monthly,No,3744
15,53,138,5,Monthly,Yes,7314
16,36,152,3,Annual,No,5472
17,40,75,1,Annual,No,3000
18,24,115,8,Monthly,No,2760
19,3,197,2,Annual,No,591
20,22,94,6,Annual,No,2068
21,53,162,7,Two-Year,No,8586
22,2,51,1,Annual,No,102
23,24,47,5,Annual,No,1128
24,44,41,7,Monthly,No,1804
25,30,36,6,Monthly,Yes,1080
26,38,78,2,Two-Year,Yes,2964
27,2,109,0,Monthly,Yes,218
28,21,125,5,Annual,Yes,2625
29,33,45,7,Annual,No,1485
30,12,44,5,Annual,No,528
31,58,157,4,Monthly,No,9106
32,22,64,7,Annual,Yes,1408
33,44,102,1,Annual,No,4488
34,25,30,0,Two-Year,No,750
35,49,123,0,Two-Year,No,6027
36,27,87,3,Two-Year,No,2349
37,59,114,5,Monthly,No,6726
38,42,175,8,Annual,No,7350
39,28,84,0,Annual,No,2352
40,16,68,0,Annual,Yes,1088
41,15,194,4,Two-Year,No,2910
42,47,71,9,Annual,Yes,3337
43,51,121,4,Annual,No,6171
44,44,76,4,Annual,No,3344
45,55,66,9,Annual,No,3630
46,52,178,5,Annual,Yes,9256
47,57,193,7,Monthly,No,11001
48,3,45,2,Annual,No,135
49,37,133,8,Monthly,No,4921
50,51,24,0,Annual,No,1224
51,7,103,3,Monthly,Yes,721
52,21,71,8,Annual,No,1491
53,9,124,7,Annual,No,1116
54,39,73,9,Annual,No,2847
55,18,180,8,Annual,No,3240
56,4,197,0,Two-Year,No,788
57,25,185,8,Annual,No,4625
58,14,174,2,Monthly,No,2436
59,50,34,9,Two-Year,No,1700
60,58,80,8,Two-Year,No,4640
61,9,141,0,Annual,No,1269
62,26,40,0,Monthly,No,1040
63,53,65,8,Monthly,No,3445
64,2,153,5,Two-Year,No,306
65,20,57,3,Monthly,Yes,1140
66,28,81,6,Annual,No,2268
67,47,105,4,Annual,No,4935
68,7,97,9,Annual,No,679
69,44,65,6,Annual,No,2860
70,8,160,7,Annual,No,1280
71,47,22,7,Two-Year,No,1034
72,35,25,0,Annual,No,875
73,14,112,7,Annual,No,1568
74,17,27,5,Two-Year,No,459
75,36,191,3,Two-Year,Yes,6876
76,50,127,7,Two-Year,No,6350
77,40,180,2,Monthly,No,7200
78,4,94,3,Monthly,No,376
79,2,96,5,Annual,Yes,192
80,6,69,6,Annual,No,414
81,54,30,3,Annual,Yes,1620
82,42,114,3,Monthly,No,4788
83,4,175,6,Annual,No,700
84,54,89,5,Annual,Yes,4806
85,29,188,7,Monthly,Yes,5452
86,18,35,0,Two-Year,No,630
87,26,87,9,Monthly,No,2262
88,44,118,6,Annual,Yes,5192
89,34,67,6,Monthly,No,2278
90,10,83,6,Two-Year,No,830
91,36,109,6,Two-Year,Yes,3924
92,14,95,9,Two-Year,No,1330
93,31,158,9,Two-Year,No,4898
94,48,120,7,Two-Year,Yes,5760
95,15,108,8,Two-Year,No,1620
96,8,37,8,Annual,No,296
97,14,38,1,Annual,No,532
98,23,74,6,Monthly,Yes,1702
99,57,121,6,Annual,Yes,6897
100,40,137,3,Two-Year,No,5480
101,21,173,8,Annual,Yes,3633
102,16,153,7,Monthly,No,2448
103,45,23,0,Two-Year,Yes,1035
104,18,127,1,Annual,No,2286
105,47,134,1,Annual,No,6298
106,53,48,7,Monthly,No,2544
107,24,78,0,Two-Year,No,1872
108,26,144,3,Monthly,No,3744
109,25,117,9,Two-Year,No,2925
110,45,36,4,Two-Year,No,1620
111,41,126,8,Annual,No,5166
112,29,62,6,Monthly,No,1798
113,15,99,7,Monthly,Yes,1485
114,45,181,8,Monthly,No,8145
115,1,27,6,Two-Year,No,27
116,25,160,4,Monthly,No,4000
117,7,125,4,Two-Year,No,875
118,9,27,9,Monthly,No,243
119,24,115,5,Monthly,Yes,2760
120,1,113,4,Annual,No,113
121,44,84,8,Monthly,Yes,3696
122,8,190,2,Annual,Yes,1520
123,24,58,2,Annual,No,1392
124,11,100,6,Two-Year,No,1100
125,51,103,6,Monthly,No,5253
126,17,107,5,Monthly,No,1819
127,8,105,2,Monthly,Yes,840
128,35,112,6,Annual,No,3920
129,35,105,4,Monthly,No,3675
130,33,63,6,Two-Year,No,2079
131,59,156,1,Two-Year,No,9204
132,5,184,5,Monthly,Yes,920
133,42,93,7,Annual,No,3906
134,39,55,0,Two-Year,No,2145
135,58,120,3,Two-Year,No,6960
136,41,175,0,Annual,No,7175
137,28,189,0,Two-Year,No,5292
138,7,190,9,Annual,Yes,1330
139,9,189,7,Two-Year,No,1701
140,8,123,6,Annual,No,984
141,12,85,9,Two-Year,Yes,1020
142,34,74,0,Monthly,No,2516
143,33,195,1,Two-Year,Yes,6435
144,48,110,3,Two-Year,No,5280
145,55,41,0,Monthly,Yes,2255
146,23,120,2,Monthly,No,2760
147,24,174,7,Monthly,No,4176
148,37,140,7,Monthly,No,5180
149,35,112,7,Annual,No,3920
150,44,127,5,Annual,No,5588
151,40,160,5,Two-Year,No,6400
152,22,192,4,Two-Year,No,4224
153,27,29,8,Two-Year,No,783
154,35,28,3,Annual,Yes,980
155,1,174,9,Two-Year,No,174
156,35,53,6,Two-Year,No,1855
157,37,148,0,Annual,No,5476
158,47,179,8,Two-Year,Yes,8413
159,14,108,6,Annual,No,1512
160,3,112,9,Annual,Yes,336
161,1,90,8,Monthly,No,90
162,5,86,6,Monthly,No,430
163,26,167,1,Annual,No,4342
164,55,136,5,Annual,No,7480
165,14,113,9,Monthly,No,1582
166,39,182,3,Two-Year,Yes,7098
167,27,118,2,Two-Year,Yes,3186
168,9,132,1,Two-Year,No,1188
169,15,122,5,Annual,No,1830
170,15,110,7,Monthly,No,1650
171,26,109,5,Two-Year,No,2834
172,42,36,8,Monthly,No,1512
173,13,37,4,Monthly,No,481
174,51,192,1,Annual,No,9792
175,32,135,7,Two-Year,No,4320
176,39,112,8,Monthly,No,4368
177,49,110,9,Annual,No,5390
178,52,101,3,Annual,No,5252
179,32,87,5,Annual,No,2784
180,4,133,9,Two-Year,No,532
181,30,20,7,Two-Year,Yes,600
182,37,77,8,Annual,Yes,2849
183,23,173,4,Two-Year,No,3979
184,39,128,5,Two-Year,No,4992
185,45,167,3,Monthly,No,7515
186,15,135,4,Annual,No,2025
187,43,106,6,Annual,No,4558
188,29,29,8,Two-Year,Yes,841
189,36,78,9,Annual,Yes,2808
190,13,60,5,Annual,No,780
191,32,124,5,Annual,Yes,3968
192,7,152,7,Two-Year,Yes,1064
193,59,141,3,Two-Year,No,8319
194,51,164,2,Two-Year,Yes,8364
